83 20 153 37 36 23 1 51 21 1 1 1 1 13 1 1 1 5 1 1 1 6 25 1 1 1 1 1 1 4 1 1 1 1 1 1
29 26 37 14 55 42 10 66 11 9 7 7 9 13 8 7 6 3 7 5 6 9 31 4 9 10 6 5 7 1 7 5 7 8 7 7
11 30 32 12 37 29 10 42 16 11 9 9 10 31 11 10 9 8 8 8 10 11 27 9 10 9 8 9 9 7 9 9 7 8 10 5
6 10 25 10 25 28 12 42 19 11 13 9 12 41 11 10 12 9 9 7 11 16 32 11 11 10 12 7 11 9 10 10 7 9 8 8
11 7 12 15 25 29 12 45 27 12 12 11 13 28 12 9 11 11 11 6 12 12 26 13 13 10 12 9 11 8 11 9 7 11 9 10
8 20 6 61 27 33 12 8 7 12 10 12 12 28 13 11 10 11 11 8 11 8 27 2 13 10 12 9 13 12 12 11 10 12 9 11
8 27 6 40 47 45 9 12 9 12 11 12 9 21 9 12 12 13 11 10 6 6 20 9 10 9 12 10 8 12 11 11 12 10 12 12
10 23 14 28 37 52 6 11 25 13 9 11 8 15 7 9 13 12 11 9 5 11 21 9 10 11 12 11 11 8 12 11 12 12 13 11
9 22 15 27 69 1 9 37 30 10 18 8 11 1 10 11 12 11 9 10 8 8 21 12 12 10 12 11 6 9 10 12 11 9 12 12
14 60 22 26 43 6 10 29 23 10 18 11 6 6 10 7 7 11 10 12 9 13 14 10 11 11 11 6 9 7 10 7 11 12 10 10
11 40 26 25 54 5 12 10 21 10 8 8 7 10 9 9 10 12 11 9 11 11 39 10 11 12 13 8 11 10 13 8 13 11 9 5
7 81 21 26 25 2 13 10 25 12 15 11 10 4 10 11 12 13 13 10 11 18 2 11 12 11 12 9 12 10 12 9 12 13 7 7
11 82 20 33 13 5 13 2 10 12 18 12 10 8 11 11 14 12 12 10 10 21 6 13 12 6 13 10 12 16 15 8 11 14 9 9
8 44 24 19 1 6 9 6 17 15 25 11 11 6 11 10 13 13 10 10 8 27 23 8 10 5 10 10 10 75 1 9 12 14 11 2
11 46 35 23 4 7 9 6 25 14 4 9 7 2 11 11 17 13 11 10 10 54 3 9 13 10 12 9 11 29 13 10 10 14 11 8
13 69 38 27 9 8 10 6 33 15 4 10 9 10 4 7 14 12 12 11 11 23 10 11 14 11 12 10 9 11 1 11 11 15 11 9
11 31 24 18 8 11 11 7 35 14 7 4 9 3 6 8 18 14 13 12 10 22 6 11 77 13 10 7 9 12 4 11 12 14 12 7
7 34 19 19 9 9 6 5 17 14 5 8 7 5 8 10 24 13 13 13 10 26 8 10 96 3 11 9 13 4 8 6 16 13 12 14
11 26 37 4 6 4 10 7 17 12 12 9 10 2 9 10 21 14 11 12 12 26 14 9 65 8 11 9 29 10 8 9 12 11 12 9
15 18 37 13 8 1 10 10 17 15 7 11 12 14 10 10 23 15 11 9 12 30 3 10 51 9 11 11 16 9 13 10 12 14 11 11
14 24 36 16 5 4 11 11 10 16 10 12 8 9 11 10 27 13 13 9 9 25 9 10 56 3 13 12 17 12 6 8 13 14 11 11
13 30 31 19 5 6 10 3 15 16 12 5 10 12 11 10 24 15 13 8 9 17 3 11 55 8 14 13 17 18 7 9 13 13 12 12
15 53 18 29 4 10 11 5 11 16 7 9 10 7 12 8 15 13 13 10 9 21 6 12 58 10 14 17 14 8 10 6 13 14 6 11
22 49 4 26 3 11 9 8 8 14 7 10 10 23 11 10 21 15 13 7 9 17 10 13 48 11 15 13 16 3 11 9 13 15 8 11
15 48 12 20 3 12 8 6 16 14 12 11 9 12 0 12 23 16 15 7 6 22 8 10 42 10 14 15 25 5 12 11 9 15 10 10
18 50 27 35 6 9 10 0 20 15 6 12 0 0 0 12 12 18 17 7 9 28 21 10 39 10 14 11 4 14 9 10 13 11 8 11
15 42 21 34 3 11 13 0 16 15 18 14 0 0 0 11 14 17 18 9 12 20 0 4 39 13 13 37 8 14 10 10 9 14 8 11
19 35 16 27 0 8 14 0 25 17 9 13 0 0 0 12 19 18 13 11 12 25 0 7 29 14 15 41 16 10 11 10 12 16 11 12
18 22 28 30 0 0 13 0 28 16 8 14 0 0 0 13 18 15 19 10 14 30 0 0 36 14 16 43 9 7 11 0 16 19 13 16
20 70 4 32 0 0 9 0 25 16 0 15 0 0 0 14 20 11 18 11 15 26 0 0 40 15 17 30 7 11 4 0 17 14 15 19
21 59 10 24 0 0 10 0 23 14 0 0 0 0 0 15 20 21 20 12 7 25 0 0 54 15 17 48 12 5 6 0 15 15 9 18
23 38 5 25 0 0 12 0 26 15 0 0 0 0 0 16 20 28 20 13 11 28 0 0 50 13 19 24 6 20 9 0 17 22 16 19
22 20 9 32 0 0 11 0 28 20 0 0 0 0 0 18 26 25 23 17 13 40 0 0 73 0 19 18 3 3 0 0 24 25 13 22
22 35 3 45 0 0 14 0 22 19 0 0 0 0 0 10 22 20 18 12 15 16 0 0 79 0 21 11 4 27 0 0 33 24 16 17
23 81 2 51 0 0 13 0 26 20 0 0 0 0 0 23 23 22 18 15 12 29 0 0 34 0 22 12 1 7 0 0 16 22 15 16
